X,y
"[2, 21.207872, 98.166725, 8.025580605474985, 0.006690031689419673, 95.42409355360007, 0.28047865557741947, 4, 2, 0, 1, 1, 1, 32.288204, 105.23452, 13.466978080947714, 0.0085608472278757, 95.46035624744628, 2.8611139980123736, 6, 1, 1, 2, 2, 4, 22.500515, 119.520874, 14.169946891435648, 0.016641597856663803, 95.4326281380626, 0.11854403838230887, 4, 1, 1, 2, 0]",3
"[5, 9.920536, 216.13712, 25.784940391149995, 0.0066285659343161, 98.99329473570161, 2.900568979566761, 1, 1, 3, 0, 1, 7, 28.55102, 263.86694, 26.06126365813257, 0.015791066901755357, 99.83193061194518, 0.7681557214920529, 3, 0, 1, 0, 2, 142, 27.052185, 271.4054, 32.2362326784104, 0.0064814753193715435, 89.89955735214419, 2.37343693209774, 2, 0, 1, 0, 1]",3
"[8, 8.575386, 309.521, 17.576606946598318, 0.006348429379379794, 150.6546493553613, 5.446777177490999, 3, 2, 1, 0, 2, 213, 23.443144, 312.29565, 26.30030112226311, 0.007916155993416052, 150.68712981241544, 2.3051845239012057, 5, 2, 0, 1, 2, 142, 27.052185, 271.4054, 29.020155879816503, 0.001981999268247603, 115.97385100152269, 0.7226225843782155, 1, 1, 2, 0, 2]",1
"[10, 42.428326, 327.63623, 6.0119504273619455, 0.013952423104934386, 132.75080031248598, 2.0178630578947483, 6, 2, 1, 2, 1, 21, 57.64036, 334.31808, 19.458746789688288, 0.009017189103528167, 125.39935556542322, 1.1237295956950448, 6, 1, 2, 4, 1, 213, 23.443144, 312.29565, 24.70656263533655, 0.010496114479889018, 124.49831493406451, 0.8943531658372084, 5, 1, 2, 1, 1]",3
"[17, 67.10038, 7.213612, 14.060686785223758, 0.0014469827925966405, 113.87533947720624, 2.5156185609608563, 1, 0, 0, 1, 0, 209, 48.11724, 5.7468653, 22.628305180823755, 0.0025449978367659276, 108.36749785187057, 0.6259740926289368, 1, 2, 0, 0, 1, 26, 93.30843, 29.551361, 29.77905569211205, 0.026944319985473086, 109.69564738848199, 1.091371717292249, 3, 2, 2, 1, 2]",3
"[222, 58.6257, 142.37968, 22.22118472499647, 0.017625550046768468, 103.7780816458029, 4.08878529181467, 1, 1, 1, 1, 0, 134, 45.950283, 165.19357, 26.112039361547474, 0.02005165151683025, 109.19937683559601, 4.006817882772293, 0, 1, 1, 1, 1, 161, 108.4304, 159.86102, 36.814798299534544, 0.00835669014799123, 77.89764292280805, 1.619444150724369, 3, 1, 2, 1, 1]",3
"[138, 34.797543, 181.88295, 16.3159785619189, 0.006507161086770408, 84.99333369103084, 0.3249199188591385, 3, 1, 1, 1, 2, 134, 45.950283, 165.19357, 19.406439208503887, 0.016453730116554155, 95.62165753546961, 0.9373576390382309, 3, 1, 0, 0, 2, 144, 65.15985, 207.14905, 27.199472236167736, 0.009096162661375362, 97.1278980197994, 1.5301801767243517, 3, 2, 0, 2, 1]",3
"[19, 65.24999, 231.36801, 28.503770967049828, 0.02750468713698706, 110.37069495140338, 1.0089141932787664, 3, 3, 1, 0, 1, 105, 75.3431, 295.7496, 36.97180958790815, 0.028395825593440893, 123.34902773598964, 0.38363732140355516, 1, 1, 0, 0, 0, 100, 56.1069, 292.35794, 37.39299744749565, 0.03360445744687207, 123.21643062330061, 3.5252299749933482, 0, 0, 1, 1, 0]",3
"[19, 65.24999, 231.36801, 23.939362143164512, 0.010876347818172871, 103.87678679989953, 4.150506846868559, 1, 2, 1, 1, 1, 100, 56.1069, 292.35794, 38.65988113401333, 0.00477657750828786, 116.76489480463287, 0.3836373214035551, 2, 1, 1, 2, 0, 7, 28.55102, 263.86694, 39.34678507678021, 0.014197692200971168, 108.16369807963233, 1.208901841309286, 0, 1, 0, 0, 1]",3
"[105, 75.3431, 295.7496, 9.74368166428355, 0.04945630517074229, 142.7021878678084, 1.6530961824193393, 0, 1, 1, 1, 1, 100, 56.1069, 292.35794, 27.806163834676017, 0.054664937024173466, 142.64722834086083, 1.4884964711704538, 1, 2, 2, 0, 1, 20, 82.245514, 333.45035, 30.374895902302477, 0.059073330891856124, 142.7810772303904, 4.589910591030837, 2, 0, 1, 1, 2]",3
